backhoe_wb97r-5,backhoe_wb97r-5_SPECS-1,backhoe_wb97r-5_SPECS-2,backhoe_wb97s-5,backhoe_wb97s-5_SPECS-1,backhoe_wb97s-5_SPECS-2
Engine,Model,Komatsu SAA4D104E-1,Engine,Model,Komatsu SAA4D104E-1
Engine,"Horsepower, Net - EEC 80/1269 (kW)",74,Engine,"Horsepower, Net - EEC 80/1269 (kW)",74
Engine,Engine Displacement (litre),4.485,Engine,Engine Displacement (litre),4.485
Engine,Number of cylinders,4,Engine,Number of cylinders,4
Operation Weight,Operating weight - (kg),Standard: 8070,Operation Weight,Bucket capacity SAE,8660 kg
Backhoe,S/shift or C/mount,Side-shift,Backhoe,S/shift or C/mount,Side-shift
Backhoe,Dig depth (mm),6465,Backhoe,Dig depth (mm),6465
Backhoe,Reach @ ground level (mm),7175,Backhoe,Reach @ ground level (mm),7175
Backhoe,Load height (mm),5148,Backhoe,Load height (mm),5148
Backhoe,"Bucket widths, min-max (mm)",300-1200,Backhoe,"Bucket widths, min-max (mm)",300-1200
Backhoe,Bucket breakout force (kgf),6100,Backhoe,Bucket breakout force (kgf),6100
Backhoe,Arm breakout force (kgf),4000,Backhoe,Arm breakout force (kgf),4000
Backhoe,Slew system,Twin ram,Backhoe,Slew system,Twin ram
Backhoe,Related Information,Komatsu Genuine Attachments including a dynamic cast quick hitch and integrated bucket solutions,Backhoe,Related Information,Genuine Komatsu Attachment including a dynamic cast quick hitch and integrated bucket solutions
Loader,Bucket capacity (m3),1.0,Loader,Bucket capacity (m3),1.1
Loader,Dump height (mm),2720.0,Loader,Dump height (mm),2840.0
Loader,Bucket width (mm),2320.0,Loader,Bucket width (mm),2320.0
Loader,Bucket breakout force (kgf),6500.0,Loader,Bucket breakout force (kgf),6500.0
Hydraulic System,Pump type,Variable displacement piston,Hydraulic System,Pump type,Variable displacement piston
Hydraulic System,Pump flow (litre/min),165,Hydraulic System,Pump flow (litre/min),165
Hydraulic System,Relief valve pressure (bar),250,Hydraulic System,Relief valve pressure (bar),250
Hydraulic System,​Related Information,​Efficient and powerful operation is obtained from the Syncro System CLSS system,Dimensions,Travel length (mm),5895
Transmission,Transmission type,Full Power Shift,Dimensions,Travel height (mm),3780
Transmission,Drive,2WD / 4WD,Dimensions,Width (mm),2320
Transmission,"Number of speeds, Fwd / Rev",4 / 4,Service Information,Fuel tank (litre),150
Transmission,"Maximum speed, Fwd / Rev (km/h)",40.0,Communications System,KOMTRAX Satellite tracking,Yes
Transmission,Ride Control (Standard/Optional/NA),Standard,Standard Fitment,ENGINE & RELATED ITEMS,"- Komatsu SAA4D104E-1 engine.  - Air cleaner, dual element with precleaner.  - Full compliance with EU Stage IIIA and EPA Tier III exhaust emission regulations.  - Side by side cooling cores, (engine, transmission, hydraulic, intercooler)."
Dimensions,Travel length (mm),5895,Standard Fitment,ELECTRICAL SYSTEM,"- Alternator, 12 Volt, 120 Ampere.  - Battery, standard, 1 x 12 Volt, 155 Ah.  - Starter motor, 12 Volt, 3.0 kW."
Dimensions,Travel height (mm),3780,Standard Fitment,POWERTRAIN,"- Electronically controlled, four wheel drive, Full Power Shift transmission, 4 speed.  - Heavy duty axles.  - Oil immersed disc brakes, individual rear or total integral braking.  - Three steering modes."
Dimensions,Width (mm),2320,Standard Fitment,TYRES,- Front - 16.9 x 28 - 12 PR.  - Rear - 16.9 x 28 - 12 PR.
Service Information,Fuel tank (litre),150,Standard Fitment,HYDRAULICS & CONTROLS,"- SyncroSystem, Closed Load Sensing System (CLSS)  - Variable displacement axial piston pump and Load Independent Flow Divider.  - Proportional Pressure Controls (PPC) lock switch.  - Load Stabiliser System (LSS)  - Loader  - Proportional Pressure Controls (PPC) servo control type.  - Speed up function, self levelling and transmission kickdown.  - Bucket positioner, automatic (return to dig).  - Boom positioner / kickout.  - Loader arm burst valves, factory fitted.  - Load Stabiliser System (LSS) with over ride for burst valves.  - Backhoe (Sideshift arrangement)  - Proportional Pressure Controls (PPC) servo control type.  - Proportional Pressure Controls (PPC) servo control for stabilisers.  - Hydraulic sideshift.  - Power and Economy work mode selection.  - Electro-hydraulic boom lock and slide frame release lock.  - Swing transport lock and hydraulic cushions.  - Boom and Arm burst valves, factory fitted.  - Two way hammer piping, factory fitted.  - Quick hitch piping, factory fitted.  - Additional circuit i.e. tilt."
