dozers_d155ax-6,dozers_d155ax-6_SPECS-1,dozers_d155ax-6_SPECS-2,dozers_d155axi-8,dozers_d155axi-8_SPECS-1,dozers_d155axi-8_SPECS-2,dozers_d275ax-5e0,dozers_d275ax-5e0_SPECS-1,dozers_d275ax-5e0_SPECS-2,dozers_d275ax-5e0_SPECS-3,dozers_d275ax-5e0_SPECS-4,dozers_d31ex-22,dozers_d31ex-22_SPECS-1,dozers_d31ex-22_SPECS-2,dozers_d375a-8,dozers_d375a-8_SPECS-1,dozers_d375a-8_SPECS-10,dozers_d375a-8_SPECS-2,dozers_d375a-8_SPECS-3,dozers_d375a-8_SPECS-4,dozers_d375a-8_SPECS-5,dozers_d375a-8_SPECS-6,dozers_d375a-8_SPECS-7,dozers_d375a-8_SPECS-8,dozers_d375a-8_SPECS-9,dozers_d39ex-22,dozers_d39ex-22_SPECS-1,dozers_d39ex-22_SPECS-2,dozers_d475a-5e0,dozers_d475a-5e0_SPECS-1,dozers_d475a-5e0_SPECS-2,dozers_d475a-5e0_SPECS-3,dozers_d475a-5e0_SPECS-4,dozers_d475asd-5e0,dozers_d475asd-5e0_SPECS-1,dozers_d475asd-5e0_SPECS-2,dozers_d475asd-5e0_SPECS-3,dozers_d475asd-5e0_SPECS-4,dozers_d51ex-px-22,dozers_d51ex-px-22_SPECS-1,dozers_d51ex-px-22_SPECS-2,dozers_d61exi-pxi-23,dozers_d61exi-pxi-23_SPECS-1,dozers_d61exi-pxi-23_SPECS-2,dozers_d61exi-pxi-24,dozers_d61exi-pxi-24_SPECS-1,dozers_d61exi-pxi-24_SPECS-2,dozers_d65ex-px-wx-16,dozers_d65ex-px-wx-16_SPECS-1,dozers_d65ex-px-wx-16_SPECS-2,dozers_d65exi-pxi-18,dozers_d65exi-pxi-18_SPECS-1,dozers_d65exi-pxi-18_SPECS-2,dozers_d85ex-px-15e0,dozers_d85ex-px-15e0_SPECS-1,dozers_d85ex-px-15e0_SPECS-2,dozers_d85exi-pxi-18,dozers_d85exi-pxi-18_SPECS-1,dozers_d85exi-pxi-18_SPECS-2
Engine,Model,Komatsu SAA6D140E-5,Engine,Model,Komatsu SAA6D140E-7,Engine,Model,Komatsu SAA6D140E-5,,,Engine,Model,Komatsu SAA4D95LE-5,Engine,Model,,Komatsu SAA6D170E-7,,,,,,,,Engine,Model,Komatsu SAA4D107E-1,Engine,Model,Komatsu SAA12V140E-3,,,Engine,Model,Komatsu SAA12V140E-3,,,Engine,Model,Komatsu SAA6D107E-1,Engine,Model,Komatsu SAA6D107E-2,Engine,Model,Komatsu SAA6D107E-3,Engine,Model,Komatsu SAA6D114E-3,Engine,Model,Komatsu SAAD114E-6,Engine,Model,Komatsu SAA6D125E-5,Engine,Model,Komatsu SAAD125E-7
Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"Four-cycle, water-cooled, direct injection",,,Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,,"Four-cycle, water-cooled, direct injection",,,,,,,,Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"Four-cycle, water-cooled, direct injection",,,Engine,Type,"Four-cycle, water-cooled, direct injection",,,Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection",Engine,Type,"4-cycle, water-cooled, direct injection"
Engine,Aspiration,"Turbocharged, after-cooled, cooled EGR",Engine,Aspiration,"Turbocharged, after-cooled",Engine,Aspiration,"Turbo-charged, after-cooled, cooled EGR",,,Engine,Number of Cylinders,4,Engine,Aspiration,,"Turbo-charged, after-cooled, cooled EGR",,,,,,,,Engine,Aspiration,"Turbocharged, aftercooled",Engine,Aspiration,"Turbo-charged, after-cooled",,,Engine,Aspiration,"Turbo-charged, after-cooled",,,Engine,Aspiration,"Turbocharged, after-cooled diesel",Engine,Aspiration,"Turbocharged, after-cooled, cooled EGR",Engine,Aspiration,"Turbocharged, after-cooled, cooled EGR",Engine,Aspiration,"Turbocharged, after-cooled",Engine,Aspiration,"Turbocharged, after-cooled, cooled EGR",Engine,Aspiration,"Turbocharged, after-cooled, cooled EGR",Engine,Aspiration,"Turbocharged, after-cooled"
Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of cylinders,6,,,Engine,bore x stroke,95 mm x 115 mm,Engine,Number of cylinders,,6,,,,,,,,Engine,Number of Cylinders,4,Engine,Number of cylinders,12,,,Engine,Number of cylinders,12,,,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6,Engine,Number of Cylinders,6
Engine,bore x stroke,140 mm x 165 mm,Engine,bore x stroke,140 mm x 165 mm,Engine,Bore x stroke,140 mm x 165 mm,,,Engine,"Horsepower, Gross - SAE J1995",60 kW / 80 HP,Engine,Bore x stroke,,170 mm x 170 mm,,,,,,,,Engine,bore x stroke,107 mm x 124 mm,Engine,Bore x stroke,140 mm x 165 mm,,,Engine,Bore x stroke,140 mm x 165 mm,,,Engine,bore x stroke,107 mm x 124 mm,Engine,bore x stroke,107 mm x 124 mm,Engine,bore x stroke,107 mm x 124 mm,Engine,bore x stroke,114 mm x 135 mm,Engine,bore x stroke,114 mm x 144.5 mm,Engine,bore x stroke,125 mm x 150 mm,Engine,bore x stroke,125 mm x 150 mm
Engine,"Horsepower, Gross - SAE J1995",268 kW / 360 HP,Engine,"Horsepower, Gross - SAE J1995",268 kW / 360 HP,Engine,Displacement,15.24 ltr,,,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",58 kW / 78 HP,Engine,Displacement,,23.15 ltr,,,,,,,,Engine,"Horsepower, Gross - SAE J1995",79.9 kW / 107 HP,Engine,Displacement,30.48 ltr,,,Engine,Displacement,30.48 ltr,,,Engine,"Horsepower, Gross - SAE J1995",99 kW / 133 HP,Engine,"Horsepower, Gross - SAE J1995",126 kW / 169 HP,Engine,"Horsepower, Gross - SAE J1995",127 kW / 170 HP,Engine,"Horsepower, Gross - SAE J1995",163.7 kW / 219 HP,Engine,"Horsepower, Gross - SAE J1995",164 kW / 220 HP,Engine,"Horsepower, Gross - SAE J1995",199 kW / 266 HP,Engine,"Horsepower, Gross - SAE J1995",199 kW / 266 HP
Engine,"Horsepower, Net - ISO 9249 / SAE J1349",264 kW / 354 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",264 kW / 354 HP,Engine,"Horsepower, Gross - SAE J1995",337 kW / 452 HP,,,Engine,Rated RPM,2200,Engine,"Horsepower, Gross (Forward) - SAE J1995",,474 kW / 636 HP,,,,,,,,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",79 kW / 105 HP,Engine,"Horsepower, Gross - SAE J1995",671 kW / 899 HP,,,Engine,"Horsepower, Gross - SAE J1995",671 kW / 899 HP,,,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",97 kW / 130 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",125 kW / 168 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",125 kW / 168 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",153 kW / 205 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",162 kW / 217 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",197 kW / 264 HP,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",197 kW / 264 HP
Engine,Rated RPM,1900,Engine,Rated RPM,1900,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",335 kW / 449 HP,,,Engine,Piston displacement,3.26 ltr,Engine,"Horsepower, Net (Forward) - ISO 9249 / SAE J1349",,455 kW / 610 HP,,,,,,,,Engine,Rated RPM,2200,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",664 kW / 890 HP,,,Engine,"Horsepower, Net - ISO 9249 / SAE J1349",664 kW / 890 HP,,,Engine,Rated RPM,2200,Engine,Rated RPM,2200,Engine,Rated RPM,2200,Engine,Rated RPM,1950,Engine,Rated RPM,1950,Engine,Rated RPM,1900,Engine,Rated RPM,1900
Engine,Piston displacement,15.24 ltr,Engine,Piston displacement,15.24 ltr,Engine,Rated RPM,2000,,,Engine,Fan drive type,Hydraulic,Engine,"Horsepower, Gross (Reverse) - SAE J1995",,578 kW / 775 HP,,,,,,,,Engine,Piston displacement,3.26 ltr,Engine,Rated RPM,2000,,,Engine,Rated RPM,2000,,,Engine,Piston displacement,6.69 ltr,Engine,Piston displacement,6.69 ltr,Engine,Piston displacement,6.69 ltr,Engine,Piston displacement,8.27 ltr,Engine,Piston displacement,8.85 ltr,Engine,Piston displacement,11.04 ltr,Engine,Piston displacement,11.04 ltr
Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive method,Hydraulic,,,Engine,Lubrication system,Gear pump,Engine,"Horsepower, Net (Reverse) - ISO 9249 / SAE J1349",,558 kW / 748 HP,,,,,,,,Engine,Fan drive type,Hydraulic,Engine,Fan drive method,Hydraulic,,,Engine,Fan drive method,Hydraulic,,,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic,Engine,Fan drive type,Hydraulic
