excavators_hb215lc-1m0,excavators_hb215lc-1m0_SPECS-1,excavators_hb335lc-1,excavators_hb335lc-1_SPECS-1,excavators_pc1250sp-8r,excavators_pc1250sp-8r_SPECS-1,excavators_pc130-8,excavators_pc130-8_SPECS-1,excavators_pc138us-11,excavators_pc138us-11_SPECS-1,excavators_pc138us-8,excavators_pc138us-8_SPECS-1,excavators_pc138us-8os,excavators_pc138us-8os_SPECS-1,excavators_pc138uslc-11,excavators_pc138uslc-11_SPECS-1,excavators_pc160lc-8,excavators_pc160lc-8_SPECS-1,excavators_pc170lc-11,excavators_pc170lc-11_SPECS-1,excavators_pc18mr-3,excavators_pc18mr-3_SPECS-1,excavators_pc200-lc-8m0,excavators_pc200-lc-8m0_SPECS-1,excavators_pc200-lc-8m0_SPECS-2,excavators_pc2000-8,excavators_pc2000-8_SPECS-1,excavators_pc210-lc-11,excavators_pc210-lc-11_SPECS-1,excavators_pc210-lc-11_SPECS-2,excavators_pc210lci-10,excavators_pc210lci-10_SPECS-1,excavators_pc220-lc-8m0,excavators_pc220-lc-8m0_SPECS-1,excavators_pc220-lc-8m0_SPECS-2,excavators_pc228us-lc-11,excavators_pc228us-lc-11_SPECS-1,excavators_pc228us-lc-11_SPECS-2,excavators_pc228us-lc-8,excavators_pc228us-lc-8_SPECS-1,excavators_pc228us-lc-8_SPECS-2,excavators_pc240lc-11,excavators_pc240lc-11_SPECS-1,excavators_pc270-lc-8,excavators_pc270-lc-8_SPECS-1,excavators_pc270-lc-8_SPECS-2,excavators_pc290lc-11,excavators_pc290lc-11_SPECS-1,excavators_pc300-lc-8m0,excavators_pc300-lc-8m0_SPECS-1,excavators_pc300-lc-8m0_SPECS-2,excavators_pc3000-6,excavators_pc3000-6_SPECS-1,excavators_pc30mr-5,excavators_pc30mr-5_SPECS-1,excavators_pc350lc-8m0,excavators_pc350lc-8m0_SPECS-1,excavators_pc35mr-5,excavators_pc35mr-5_SPECS-1,excavators_pc360lc-11,excavators_pc360lc-11_SPECS-1,excavators_pc360lci-11,excavators_pc360lci-11_SPECS-1,excavators_pc4000-11,excavators_pc4000-11_SPECS-1,excavators_pc450lc-8,excavators_pc450lc-8_SPECS-1,excavators_pc450lc-8se,excavators_pc450lc-8se_SPECS-1,excavators_pc45mr-5,excavators_pc45mr-5_SPECS-1,excavators_pc490lc-11,excavators_pc490lc-11_SPECS-1,excavators_pc5500-6,excavators_pc5500-6_SPECS-1,excavators_pc55mr-5,excavators_pc55mr-5_SPECS-1,excavators_pc600lc-8e0,excavators_pc600lc-8e0_SPECS-1,excavators_pc600lc-8e0se,excavators_pc600lc-8e0se_SPECS-1,excavators_pc7000-11,excavators_pc7000-11_SPECS-1,excavators_pc78uu-10,excavators_pc78uu-10_SPECS-1,excavators_pc8000-6,excavators_pc8000-6_SPECS-1,excavators_pc850se-8e0,excavators_pc850se-8e0_SPECS-1,excavators_pc88mr-10,excavators_pc88mr-10_SPECS-1,excavators_pw98mr-10,excavators_pw98mr-10_SPECS-1
Engine | Model,Komatsu SAA4D107E-1-A,Engine | Model,Komatsu SAA6D114E-5,Engine | Model,Komatsu SAA6D170E-5,Engine | Model,Komatsu SAAD95LE-5,Engine | Model,Komatsu SAA4D95LE-7,Engine | Model,Komatsu SAAD95LE-5,Engine | Model,Komatsu SAA4D95LE-5,Engine | Model,Komatsu SAA4D95LE-7,Engine | Model,Komatsu SAA4D107E-1,Engine | Model,Komatsu SAA4D107E-3* Tier 4 Final,Engine | Model,Komatsu 3D67E-2,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA12V140E-3,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-2,Engine | Model,Komatsu SAA6D107LE-1,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107LE-3,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107E-3,Engine | Model,Komatsu SAA6D114E-3,,Engine | Version 1 - Tier 1 engine:,,Engine | Model,Komatsu 3D88E-7,Engine | Model,Komatsu SAA6D114E-3,Engine | Model,Komatsu 3D88E-7,Engine | Model,Komatsu SAA6D114E-6,Engine | Model,Komatsu SAA6D114E-6,Engine | Version 1 - Tier 2 engine:,,Engine | Model,Komatsu SAA6D125E-5,Engine | Model,Komatsu SAA6D125E-5,Engine | Model,Komatsu 4D88E-7,Engine | Model,Komatsu SAA6D125E-7,Engine | Model,2 x Komatsu SDA12V159E-2,Engine | Model,Komatsu 4D88E-7,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SSDA16V159E-2,Engine | Model,Komatsu SAAD95LE-6,Engine | Model,2 x Komatsu SDA16V160E-2,Engine | Model,Komatsu SAA6D140E-5,Engine | Model,Komatsu SAAD95LE-6,Engine | Model,Komatsu SAAD95LE-6
Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,Swirl Chamber,Engine | Type,"Water-cooled, 4-cycle, direct injection",,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",,Engine | Type,"Water-cooled, 4-cycle",,Engine | Type,"Water-cooled, 4-cycle",,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",,Engine | Model,Komatsu SSA12V159,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Model,Komatsu SDA16V160E-2,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Type,"Water-cooled, 4-cycle, direct injection"
Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Variable flow, turbocharged, Water-cooled",Engine | Aspiration,"Variable flow, turbocharged, air-to-air aftercooled",Engine | Aspiration,"Variable flow, turbocharged, air-to-air aftercooled",Engine | Aspiration,"Variable flow, turbocharged, air-to-air aftercooled",Engine | Aspiration,"Variable flow, turbocharged, air-to-air aftercooled",Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Variable geometry turbocharged,  aftercooled, cooled EGR",Engine | Number of Cylinders,3,Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",,Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Aspiration,"Turbocharged, aftercooled, Cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",,Engine | Type,"Water-cooled, 4-cycle, direct injection",Engine | Aspiration,Cooled EGR,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,Cooled EGR,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Variable geometry turbocharged, aftercooled",Engine | Type,"4-cycle, water-cooled, direct injection",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,Cooled EGR,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,Cooled EGR,Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled, cooled EGR",Engine | Aspiration,"Turbocharged, aftercooled"
Engine | Number of Cylinders,4,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4,Engine | Piston Displacement,0.78 ltr,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,12,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Number of Cylinders,3,Engine | Number of Cylinders,6,Engine | Number of Cylinders,3,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,Engine | Aspiration,"Turbocharged, aftercooled",Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,Engine | Number of Cylinders,4,Engine | Number of Cylinders,6,Engine | Number of Cylinders,12,Engine | Number of Cylinders,4,Engine | Number of Cylinders,6,Engine | Number of Cylinders,6,Engine | Number of Cylinders,16,Engine | Number of Cylinders,4,Engine | Number of Cylinders,16,Engine | Number of Cylinders,6,Engine | Number of Cylinders,4,Engine | Number of Cylinders,4
Engine | Bore x Stroke,107 mm x 124 mm,Engine | Bore x Stroke,114 mm x 145 mm,Engine | Bore x Stroke,170 mm x 170 mm,Engine | Piston Displacement,3.26 ltr,Engine | Bore x Stroke,95 mm x 115 mm,Engine | Bore x Stroke,95 mm x 115 mm,Engine | Bore x Stroke,95 mm x 115 mm,Engine | Bore x Stroke,95 mm x 115 mm,Engine | Bore x Stroke,107 mm x 124 mm,Engine | Bore x Stroke,107 mm x 124 mm,"Engine | Horsepower, Gross - SAE J1995",11.2 kW,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,140 mm x 165 mm,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,107 mm x 124 mm,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,107 mm x 124 mm,Engine | Bore x Stroke,107 mm x 124 mm,,Engine | Bore x Stroke,107 mm x 124 mm,Engine | Bore x Stroke,114 mm x 135 mm,,Engine | Number of Cylinders,12,Engine | Bore x Stroke,88 mm x 90 mm,Engine | Bore x Stroke,114 mm x 135 mm,Engine | Bore x Stroke,88 mm x 90 mm,Engine | Bore x Stroke,114 mm x 144.5 mm,Engine | Bore x Stroke,114 mm x 144.5 mm,Engine | Number of Cylinders,16,Engine | Bore x Stroke,125 mm x 150 mm,Engine | Bore x Stroke,125 mm x 150 mm,Engine | Bore x Stroke,88 mm x 90 mm,Engine | Bore x Stroke,125 mm x 150 mm,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",2 x 940 kW / 2 x 1260 HP,Engine | Bore x Stroke,88 mm x 90 mm,Engine | Bore x Stroke,140 mm x 165 mm,Engine | Bore x Stroke,140 mm x 165 mm,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",2 x 1250 kW / 2 x 1675 HP,Engine | Bore x Stroke,95 mm x 115 mm,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",2 x 1500 kW / 2 x 2010 HP,Engine | Bore x Stroke,140 mm x 165 mm,Engine | Bore x Stroke,95 mm x 115 mm,Engine | Bore x Stroke,95 mm x 115 mm
Engine | Piston Displacement,4.46 ltr,Engine | Piston Displacement,8.85 ltr,Engine | Piston Displacement,23.15 ltr,"Engine | Horsepower, Gross - SAE J1995",72.1 kW,Engine | Piston Displacement,3.26 ltr,Engine | Piston Displacement,3.26 ltr,Engine | Piston Displacement,3.26 ltr,Engine | Piston Displacement,3.26 ltr,Engine | Piston Displacement,4.46 ltr,Engine | Piston Displacement,4.46 ltr,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",11.2 kW,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,30.48 ltr,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,6.69 ltr,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,6.69 ltr,Engine | Piston Displacement,6.69 ltr,,Engine | Piston Displacement,6.69 ltr,Engine | Piston Displacement,8.27 ltr,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",895 kW / 1200 HP,Engine | Piston Displacement,1.642 ltr,Engine | Piston Displacement,8.27 ltr,Engine | Piston Displacement,1.642 ltr,Engine | Piston Displacement,8.85 ltr,Engine | Piston Displacement,8.85 ltr,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",1400 kW / 1875 HP,Engine | Piston Displacement,11.04 ltr,Engine | Piston Displacement,11.04 ltr,Engine | Piston Displacement,2.189 ltr,Engine | Piston Displacement,11.04 ltr,Engine | Rated RPM,1800,Engine | Piston Displacement,2.189 ltr,Engine | Piston Displacement,15.24 ltr,Engine | Piston Displacement,15.24 ltr,Engine | Rated RPM,1800,Engine | Piston Displacement,3.26 ltr,Engine | Rated RPM,1800,Engine | Piston Displacement,15.24 ltr,Engine | Piston Displacement,3.26 ltr,Engine | Piston Displacement,3.26 ltr
"Engine | Horsepower, Gross - SAE J1995",110 kW / 148 HP,"Engine | Horsepower, Gross - SAE J1995",202 kW / 271 HP,"Engine | Horsepower, Gross - SAE J1995",514 kW / 688 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",68.4 kW,"Engine | Horsepower, Gross - SAE J1995",72.6 kW,"Engine | Horsepower, Gross - SAE J1995",72.1 kW,"Engine | Horsepower, Gross - SAE J1995",72 kW,"Engine | Horsepower, Gross - SAE J1995",72.6 kW,"Engine | Horsepower, Gross - SAE J1995",90 kW / 121 HP,"Engine | Horsepower, ISO 9249 / SAE J1349",90 kW / 121 HP,Engine | Rated RPM,2600,"Engine | Horsepower, Gross - SAE J1995",110 kW / 147 HP,,"Engine | Horsepower, Gross - SAE J1995",728 kW / 976 HP,"Engine | Horsepower, Gross - SAE J1995",122.8 kW / 165 HP,,"Engine | Horsepower, Gross - SAE J1995",123 kW / 165 HP,"Engine | Horsepower, Gross - SAE J1995",129 kW / 147 HP,,"Engine | Horsepower, Gross - SAE J1995",123 kW / 165 HP,,"Engine | Horsepower, Gross - SAE J1995",116 kW / 155 HP,,"Engine | Horsepower, Gross - SAE J1995",141 kW / 189 HP,"Engine | Horsepower, Gross - SAE J1995",149 kW / 200 HP,,"Engine | Horsepower, Gross - SAE J1995",159 kW / 213 HP,"Engine | Horsepower, Gross - SAE J1995",194 kW / 260 HP,,Engine | Rated RPM,1800,"Engine | Horsepower, Gross - SAE J1995",18.2 kW,"Engine | Horsepower, Gross - SAE J1995",194 kW / 260 HP,"Engine | Horsepower, Gross - SAE J1995",18.2 kW / 24.4HP,"Engine | Horsepower, Gross - SAE J1995",202 kW / 271 HP,"Engine | Horsepower, Gross - SAE J1995",202 kW / 271 HP,Engine | Rated RPM,1800,"Engine | Horsepower, Gross - SAE J1995",270 kW / 362 HP,"Engine | Horsepower, Gross - SAE J1995",270 kW / 362 HP,"Engine | Horsepower, Gross - SAE J1995",29.1 kW / 39 HP,"Engine | Horsepower, Gross - SAE J1995",270 kW / 362 HP,Engine | Emissions certification,EPA Tier 2,"Engine | Horsepower, Gross - SAE J1995",29.1 kW / 39 HP,"Engine | Horsepower, Gross - SAE J1995",323 kW / 433 HP,"Engine | Horsepower, Gross - SAE J1995",323 kW / 433 HP,Engine | Emissions certification,EPA Tier 2,"Engine | Horsepower, Gross - SAE J1995",50.7 kW / 68.0 HP,Engine | Emissions certification,EPA Tier 2,"Engine | Horsepower, Gross - SAE J1995",370 kW / 496 HP,"Engine | Horsepower, Gross - SAE J1995",50.7 kW / 68 HP,"Engine | Horsepower, Gross - SAE J1995",50.7 kW / 68 HP
"Engine | Horsepower, Net - ISO 9249 / SAE J1349",104 kW / 139 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",189 kW / 253 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",502 kW / 672 HP,Engine | Rated RPM,2200,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",72.5 kW,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",68.4 kW,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",68 kW,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",72.5 kW,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",86 kW / 115 HP,"Engine | Horsepower, Fan at maximum speed",85 kW / 114 HP,Engine | Fan drive method,Mechanical,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",103 kW / 138 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",713 kW / 956 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",118.6 kW / 159 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",118 kW / 158 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",123 kW / 164 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",123 kW / 165 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",110 kW / 148 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",132 kW / 177 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",140 kW / 187 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",147 kW / 196 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",187 kW / 250 HP,,Engine | Version 2 - Tier 2 engine:,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",17.4 kW,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",187 kW / 250 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",17.4 kW / 23.3HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",192 kW / 257 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",192 kW / 257 HP,Engine | Version 2 - Tier 4 engine:,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",257 kW / 345 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",257 kW / 345 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",28.3 kW / 38 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",268 kW / 359 HP,Hydraulic System | Type,Open circuit hydraulics,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",28.3 kW / 38 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",320 kW / 429 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",320 kW / 429 HP,Hydraulic System | Type,Open circuit hydraulics,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",48.8 kW / 65.5 HP,Hydraulic System | Type,Open circuit hydraulics,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",363 kW / 487 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",48.8 kW / 65.5HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",49 kW / 65.7 HP
Engine | Rated RPM,2000,Engine | Rated RPM,1950,Engine | Rated RPM,1800,Engine | Emissions certification,EPA Tier 3,Engine | Rated RPM,2050,Engine | Rated RPM,2200,Engine | Rated RPM,2200,Engine | Rated RPM,2050,Engine | Rated RPM,2200,Engine | Rated RPM,2100,Engine | Emissions certification,EPA Tier 3,Engine | Rated RPM,2000,,Engine | Rated RPM,1800,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,Engine | Rated RPM,2050,,Engine | Rated RPM,2050,Engine | Rated RPM,1950,,Engine | Model,Komatsu SDA12V159E-2,Engine | Rated RPM,2200,Engine | Rated RPM,1950,Engine | Rated RPM,2200,Engine | Rated RPM,1950,Engine | Rated RPM,1950,Engine | Model,Komatsu SDA16V160E-3,Engine | Rated RPM,1900,Engine | Rated RPM,1900,Engine | Rated RPM,2400,Engine | Rated RPM,1900,Hydraulic System | Rated flow,"4,200 ltr/min",Engine | Rated RPM,2400,Engine | Rated RPM,1800,Engine | Rated RPM,1800,Hydraulic System | Rated flow,"6,210 ltr/min",Engine | Rated RPM,1950,Hydraulic System | Rated flow,"8,280 ltr/min",Engine | Rated RPM,1800,Engine | Rated RPM,1950,Engine | Rated RPM,1950
Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Hydraulic System | Type,HydrauMind System,Engine | Fan drive method,Mechanical with viscous clutch,Engine | Emissions certification,EPA Tier 3,Hydraulic System | Type,HydrauMind System,Engine | Fan drive method,Mechanical with viscous clutch,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical with viscous fan clutch,Hydraulic System | Type,HydrauMind System,Engine | Fan drive method,Mechanical,,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Mechanical with viscous fan clutch,,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,,Engine | Emissions certification,EPA Tier 4,,Engine | Emissions certification,EPA Tier 3,,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,,Engine | Type,"4-cycle, water-cooled, direct injection",Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Type,"4-cycle, water-cooled, direct injection",Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Hydraulic System | Relief valve setting,310 bar,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic,Hydraulic System | Relief valve setting,310 bar,Engine | Fan drive method,Mechanical,Hydraulic System | Relief valve setting,310 bar,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Mechanical,Engine | Fan drive method,Mechanical
Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 3,Hydraulic System | Type,Open-center load-sensing System,Hydraulic System | Number of selectable working modes,5,Engine | Emissions certification,EPA Tier 4,Hydraulic System | Type,HydrauMind System,Hydraulic System | Main pump type,Variable capacity piston type,Engine | Emissions certification,EPA Tier 4,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4,Hydraulic System | Main pump type,Variable displacement pump,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 2,Engine | Emissions certification,EPA Tier 4,,Engine | Emissions certification,EPA Tier 4 interim,Engine | Emissions certification,EPA Tier 3,,Hydraulic System | Type,Closed-centre system with load sensing,,Hydraulic System | Type,HydrauMind System,,Engine | Emissions certification,EPA Tier 4,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 4,Engine | Emissions certification,EPA Tier 3,,Engine | Aspiration,Turbocharger and aftercooled,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 4,Engine | Emissions certification,EPA Tier 4,Engine | Aspiration,Turbocharger and aftercooled,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 4 Final,Hydraulic System | Swing flow rate,700 ltr/min,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 3,Hydraulic System | Swing flow rate,"1,035 ltr/min",Engine | Emissions certification,EPA Tier 4 Final,Hydraulic System | Swing flow rate,"2,070 ltr/min",Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,Engine | Emissions certification,EPA Tier 4
