equipment_type,equipment_id,engine_model,engine_type,engine_aspiration,engine_number_of_cylinders,engine_bore_x_stroke,engine_piston_displacement,engine_horsepower_gross_sae_j1995,engine_horsepower_net_iso_9249_sae_j1349,engine_rated_rpm,engine_fan_drive_method,engine_emissions_certification,hydraulic_system_type,hydraulic_system_number_of_selectable_working_modes,hydraulic_system_main_pump_type,hydraulic_system_pump_for,hydraulic_system_maximum_flow,hydraulic_system_travel,hydraulic_system_swing,hydraulic_system_implement_circuits,hydraulic_system_travel_circuit,hydraulic_system_swing_circuit,drives_and_brakes_steering_control,drives_and_brakes_drive_method,drives_and_brakes_maximum_drawbar_pull,drives_and_brakes_travel_speeds,drives_and_brakes_service_brake,drives_and_brakes_parking_brake,swing_system_driven_by,swing_system_swing_reduction,swing_system_swing_circle_lubrication,swing_system_service_brake,swing_system_swing_speed,coolant_and_lubricant_capacity_fuel_tank,coolant_and_lubricant_capacity_coolant,coolant_and_lubricant_capacity_engine,coolant_and_lubricant_capacity_differential_each_side,coolant_and_lubricant_capacity_swing_drive,coolant_and_lubricant_capacity_hydraulic_tank,coolant_and_lubricant_capacity_def_tank,weights_operating_weight,hydraulic_system_pilot_circuit,hydraulic_system_hydraulic_cylinders,hydraulic_system_boom,hydraulic_system_arm,hydraulic_system_bucket,drives_and_brakes_gradeability,swing_system_swing_lock,undercarriage_center_frame,undercarriage_track_frame,undercarriage_track_type,undercarriage_track_adjuster,undercarriage_number_of_shoes_each_side,undercarriage_number_of_carrier_rollers_each_side,undercarriage_number_of_track_rollers_each_side,undercarriage_shoe_size_and_type,coolant_and_lubricant_capacity_coolant_engine,coolant_and_lubricant_capacity_coolant_hybrid,coolant_and_lubricant_capacity_final_drive_each_side,coolant_and_lubricant_capacity_generator_motor,weights_operating_weights,dimensions_transport_position_length_overall_mm,dimensions_transport_position_track_length_on_ground_mm,dimensions_transport_position_track_gauge_mm,dimensions_transport_position_overall_track_width_mm,dimensions_transport_position_overall_height_mm,dimensions_transport_position_ground_clearance_mm,operation_boom_size_m_and_type,operation_arm_size_m_and_type,operation_arm_crowd_force_iso_kgf,operation_bucket crowd_force_iso_kgf,operation_digging_depth_maximum_mm,operation_digging_reach_maximum_mm,operation_maximum_reach_@_ground_level,operation_swing_radius_mm,coolant_and_lubricant_capacity_swing_motor,hydraulic_system_for_implement_and_travel,hydraulic_system_for_swing,hydraulic_system_bottom_dump,coolant_and_lubricant_capacity_pto,weights_without_blade,weights_with_blade,swing_system_swing_torque,operation_bucket_digging_force_iso_kgf,engine_horsepower_iso_9249_sae_j1349,engine_horsepower_fan_at_maximum_speed,undercarriage_centre_frame,coolant_and_lubricant_capacity_radiator,dimensions_transport_position_track_length_on_ground_mm_transport,dimensions_transport_position_overall_width_mm,dimensions_transport_position_overall_height_mm_to_top_of_cab,dimensions_transport_position_ground_clearance_mm_counterweight,operation_boom_size_m,operation_arm_size_m,operation_arm_crowd_force_iso_kn,operation_bucket crowd_force_iso_kn,weights_pc2008m0,weights_pc200lc8m0,dimensions_transport_position,hydraulic_system_fan,drives_and_brakes_travel_gear,swing_system_swing_gear,swing_system_swing_holding_brakes,coolant_and_lubricant_capacity_travel_gear_each_side,coolant_and_lubricant_capacity_hydraulic_system,weights_pc21011,weights_pc210lc11,weights_pc2208m0,weights_pc220lc8m0,weights_pc228us11,weights_pc228uslc11,weights_pc228us8 without_blade,weights_pc228us8 with_blade,weights_pc228uslc8 without_blade,weights_pc228uslc8 with_blade,dimensions_arm_length,dimensions_boom_length,weights_pc2708,weights_pc270lc8,operation,weights_pc3008m0,weights_pc300lc8m0,engine_number_od_cylinders,engine_rated_power,hydraulic_system_maximum_hydraulic_pump_flows,hydraulic_system_swing_flow_rate,hydraulic_system_high_pressure_in_line_filters,drives_and_brakes_type,drives_and_brakes_power_output,drives_and_brakes_voltage,drives_and_brakes_amperage,drives_and_brakes_frequency_standard,drives_and_brakes_frequency_option,drives_and_brakes_travel_control,drives_and_brakes_travel_speed,electric_system_system,electric_system_batteries_seriesparallel,electric_system_alternator,electric_system_standard_working_lights,electric_system_standard_service_lights,swing_system_hydraulic_motors_and_drives,swing_system_swing_brake_service,swing_system_service_brake_parking,swing_system_swing_ring_teeth,coolant_and_lubricant_capacity_hydraulic_oil_tank,bucket_standard,bucket_other_optional_available_sizes,coolant_and_lubricant_capacity_diesel_exhaust_fluid_def_tank,hydraulic_system_rated_flow,coolant_and_lubricant_capacity_engine_oil,coolant_and_lubricant_capacity_reverse_engine_oil_make_up_tank,hydraulic_system_implement_circuits_backhoe,hydraulic_system_implement_circuit_loading_shovel,electric_system_battery_charger,hydraulic_system_boom_offset,hydraulic_system_heavy_lift_circuit
excavators,pw98mr-10,Komatsu SAAD95LE-6,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",4,95 mm x 115 mm,3.26 ltr,50.7 kW / 68 HP,49 kW / 65.7 HP,1950,Mechanical,EPA Tier 4,HydrauMind System,6,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",160 ltr/min,"1 x piston motor, variable displacement",1 x piston motor with swing holding brake,270 kgf/cm3,270 kgf/cm3,215 kgf/cm3,Two levers with pedals,Fully hydrostatic,123 kN 12500 kgf,4 / 30 km/h,Hydraulic lock,Hydraulic Negative type,Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,10 rpm,125 ltr,10 ltr,11.5 ltr,9 ltr,2.8 ltr,140 ltr,None,"9,950 - 10,500 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,hb215lc-1m0,Komatsu SAA4D107E-1-A,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",4,107 mm x 124 mm,4.46 ltr,110 kW / 148 HP,104 kW / 139 HP,2000,Mechanical,EPA Tier 3,HydrauMind System,5,Variable displacement piston,"Boom, arm, bucket, swing, and travel circuits",439 ltr/min,2 x axial piston motors with parking brake,,380 kgf/cm3,380 kgf/cm3,,Two levers with pedals,Fully hydrostatic,178 kN 18200 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Electric dirve,Planetary gear,Grease-bathed,Electric brake,12.4 rpm,400 ltr,,,,7.1 ltr,135 ltr,12.6 ltr,,33 kgf/cm3,Bore x Stroke x Rod diameter,2-120 mm x 1334 mm x 85 mm,1-135 mm x 1490 mm x 95 mm,1-115 mm x 1120 mm x 80 mm,70 %,Mechanical disc break,X-frame leg,Box-section,Sealed track,Hydraulic,45 - 49,2,7 - 9,600 mm triple grouser,17.3 ltr,5.5 ltr,3.3 ltr,6 ltr,"21,810 - 22,050 kg",9425,3655,2380,3080,3040,440,5.70 standard,2.925 standard,11000,15200,6620,9875,9700,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,hb335lc-1,Komatsu SAA6D114E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,114 mm x 145 mm,8.85 ltr,202 kW / 271 HP,189 kW / 253 HP,1950,Mechanical,EPA Tier 3,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",535 ltr/min,2 x axial piston motor with parking brake,,380 kgf/cm3,380 kgf/cm3,,Two levers with pedals,Fully hydrostatic,290 kN 29600 kgf,3.2 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Electric drive,Planetary gear,Grease-bathed,Electric brake,9.5 rpm,605 ltr,42 ltr,11.7 ltr,,15.6 ltr,188 ltr,None,"35,680 - 36,220 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1480 mm x 100 mm,1-160 mm x 1825 mm x 110 mm,1-140 mm x 1285 mm x 100 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,48,2,8,600 mm triple grouser,,,9.0 ltr,,,11145,4030,2590,3190,3285,500,6.47 Heavy duty,3.2 Heavy duty,17400,23100,7380,11100,10920,3445,3.0 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc1250sp-8r,Komatsu SAA6D170E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,170 mm x 170 mm,23.15 ltr,514 kW / 688 HP,502 kW / 672 HP,1800,Hydraulic,,Open-center load-sensing System,2,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",,2 x axial piston motor with parking brake,2 x axial piston motor with swing holding brake,320 kgf/cm3,350 kgf/cm3,280 kgf/cm3,Two levers with pedals,Fully hydrostatic,686 kN 70000 kgf,2.1 / 3.2 km/h,Hydraulic lock,,Hydraulic Motors,Planetary gear,Grease-bathed,,5.8 rpm,1360 ltr,142 ltr,86 ltr,,2 x 20 ltr,670 ltr,,"106,500 - 110,900 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2- 225 mm x 2390 mm,1-250 mm x 2435 mm,2-160 mm x 1825 mm,70 %,Oil disc brake,H-frame leg,Box-Section,Sealed track,Hydraulic,48,3,8,,,,21 ltr,,,,,,,,,,,,,,,,,,2 x 494 ltr/min,1 x 600 ltr/min,2-160 mm x 435,13.5 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc130-8,Komatsu SAAD95LE-5,"Water-cooled, 4-cycle, direct injection","Variable flow, turbocharged, Water-cooled",4,,3.26 ltr,72.1 kW,68.4 kW,2200,,EPA Tier 3,HydrauMind System,5,Variable displacement system,"Boom, arm, bucket, swing, and travel circuits",241.5 ltr/min,,,,,,Two levers with pedals,Fully hydrostatic,122.6 kN 12500 kgf,2.9 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,11.0 rpm,247 ltr,13.9 ltr,11.5 ltr,,2.5 ltr,90 ltr,None,,,,,,,,Mechanical Disc brake,X-frame leg,Box-bathed,Sealed track,Hydraulic,43,1,7,500 mm triple grouser,,,2.1 ltr,,,7590,2880,1990,2490,2875,400,4.6 standard,2.5 standard,6880,9520,5520,8290,8170,2190,,,,,,"12,920 - 13,060 kg","14,060 - 14,200 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc138us-11,Komatsu SAA4D95LE-7,"Water-cooled, 4-cycle, direct injection","Variable flow, turbocharged, air-to-air aftercooled",4,95 mm x 115 mm,3.26 ltr,72.6 kW,72.5 kW,2050,Mechanical with viscous clutch,EPA Tier 4,HydrauMind System,6,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",242 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,355 kgf/cm3,355 kgf/cm3,298 kgf/cm3,Two levers with pedals,Fully hydrostatic,123 kN 12500 kgf,2.9 / 5.1 km/h,Hydraulic lock,"Wet, multiple-disc",,Planetary gear,Grease-bathed,Hydraulic lock,11.0 rpm,200 ltr,17.7 ltr,11.5 ltr,,2.5 ltr,69.0 ltr,12.6 ltr,"15,140 – 15,500 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-105 mm x 1055 mm x 70mm,1-110 mm x 1175 mm x 75 mm,1-95 mm x 885 mm x 65 mm,70 %,"Wet, multiple-disc brake",X-frame leg,Box-bathed,Sealed track,Hydraulic,43,1,7,500 mm steel city pattern,,,2.1 ltr,,,7260,2880,1990,2490,2850,395,4.6 standard,2.5 standard,6300,9500,5480,8300,8180,1980,,,,,,,,2991 kg.m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc138us-8,Komatsu SAAD95LE-5,"Water-cooled, 4-cycle, direct injection","Variable flow, turbocharged, air-to-air aftercooled",4,95 mm x 115 mm,3.26 ltr,72.1 kW,68.4 kW,2200,,EPA Tier 3,HydrauMind System,,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",241.5 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,355 kgf/cm3,355 kgf/cm3,276 kgf/cm3,Two levers with pedals,Fully hydrostatic,123 kN 12500 kgf,2.9 / 5.1 km/h,Hydraulic lock,"Wet, multiple-disc",,Planetary gear,Grease-bathed,,11.0 rpm,195 ltr,12.4 ltr,11.0 ltr,,2.5 ltr,69.0 ltr,None,"14,560 - 14,870 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-105 mm x 1055 mm x 70mm,1-110 mm x 1175 mm x 75 mm,1-95 mm x 885 mm x 65 mm,,"Wet, multiple-disc brake",X-frame leg,Box-bathed,Sealed track,Hydraulic,43,1,7,500 mm triple grouser,,,2.1 ltr,,,7260,2880,1990,2490,2850,395,4.6 standard,2.5 standard,6300,9500,5480,8300,8180,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc138us-8os,Komatsu SAA4D95LE-5,"Water-cooled, 4-cycle, direct injection","Variable flow, turbocharged, air-to-air aftercooled",4,95 mm x 115 mm,3.26 ltr,72 kW,68 kW,2200,,,HydrauMind System,,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",242 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,355 kgf/cm3,355 kgf/cm3,276 kgf/cm3,Two levers with pedals,Fully hydrostatic,123 kN 12500 kgf,2.9 / 5.1 km/h,,,,Planetary gear,Grease-bathed,Hydraulic lock,11.0 rpm,195 ltr,12.4 ltr,11 ltr,,2.5 ltr,69.0 ltr,,"15,025 - 15,170 kg",33 kgf/cm3,,,,,,"Wet, multiple-disc brake",X-frame leg,Box-bathed,Sealed track,Combined Spring & Hydraulic roller,43,1,7,500 mm steel city pattern,,,2.5 ltr,,,6800,2880,1990,2490,3245,395,4.29 standard,2.13 standard,7300,,4820,7285,7315,1480,,,,,,,,3357 kg.m,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc138uslc-11,Komatsu SAA4D95LE-7,"Water-cooled, 4-cycle, direct injection","Variable flow, turbocharged, air-to-air aftercooled",4,95 mm x 115 mm,3.26 ltr,72.6 kW,72.5 kW,2050,Mechanical with viscous clutch,EPA Tier 4,HydrauMind System,6,Variable capacity piston type,"Boom, arm, bucket, swing, and travel circuits",242 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,355 kgf/cm3,355 kgf/cm3,298 kgf/cm3,Two levers with pedals,Fully hydrostatic,123 kN 12500 kgf,2.9 / 5.1 km/h,Hydraulic lock,"Wet, multiple-disc",Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,11.0 rpm,200 ltr,17.7 ltr,11.5 ltr,,2.5 ltr,69.0 ltr,12.6 ltr,"15,630 – 16,030 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-105 mm x 1055 mm x 70mm,1-110 mm x 1175 mm x 75 mm,1-95 mm x 885 mm x 65 mm,70 %,"Wet, multiple-disc brake",X-frame leg,Box-section,Sealed track,Hydraulic,46,2,8,,,,2.1 ltr,,,7385,3140,1990,2490,2815,395,4.6 standard,2.5 standard,6300,9500,5480,8300,8180,1980,,,,,,,,2991 kg.m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc160lc-8,Komatsu SAA4D107E-1,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",4,107 mm x 124 mm,4.46 ltr,90 kW / 121 HP,86 kW / 115 HP,2200,Mechanical,EPA Tier 3,HydrauMind System,4,Variable displacement piston,"Boom, arm, bucket, swing, and travel circuits",312 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,156 kN 15950 kgf,3.4 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,12 rpm,280 ltr,18.5 ltr,16.0 ltr,,4.5 ltr,121 ltr,None,"17,370 - 17,440 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-110 mm x 1175 mm x 75 mm,1-120 mm x 1342 mm x 85 mm,1-105 mm x 1027 mm x 70 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,44,2,7,500 mm Triple grouser,,,3.3 ltr,,,8565,3170,1990,2490,3025,440,5.15 standard,2.610 standard,8800,12500,5960,8960,8800,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
