equipment_type,equipment_id,engine_power,operating_weight,bucket_capacity,payload_capacity,maximum_dig_depth,rated_operating_load,blade_capacity,blade_width,
excavators,PC18MR-3,11.2 kW / 15 HP,"1,780 kg",0.044 m³,,,,,,
excavators,PC30MR-5,17.4 kW / 23 HP,"3,150 kg",0.09 m³,,,,,,
excavators,PC35MR-5,17.4 kW / 23 HP,"3,620 kg",0.11 m³,,,,,,
excavators,PC45MR-5,28.3 kW / 38 HP,"4,980 kg",0.14 m³,,,,,,
excavators,PC55MR-5,28.3 kW / 38 HP,"5,260 kg",0.16 m³,,,,,,
excavators,PC78UU-10,48.8 kW / 66 HP,"7,960 kg",0.28 m³,,,,,,
excavators,PC88MR-10,48.8 kW / 66 HP,"8,720 kg",0.34 m³,,,,,,
excavators,PW98MR-10,50.7 kW / 68 HP,"9,950 kg",0.28 m³,,,,,,
excavators,PC130-8,68.4 kW / 92 HP,"13,060 kg",0.53 m³,,,,,,
excavators,PC138US-8,68.4 kW / 92 HP,"14,700 kg",0.53 m³,,,,,,
excavators,PC138US-8OS,68.4 kW / 92 HP,"15,170 kg",0.64 m³,,,,,,
excavators,PC138US-11,72.5 kW / 97 HP,"15,500 kg",0.53 m³,,,,,,
excavators,PC138USLC-11,72 kW / 97 HP,"15,852 kg",0.53 m³,,,,,,
excavators,PC160LC-8,86 kW / 115 HP,"17,440 kg",0.77 m³,,,,,,
excavators,PC170LC-11,90 kW / 121 HP,"17,790 kg",0.77 m³,,,,,,
excavators,PC200LC-8M0,103 kW / 138 HP,"21,960 kg",0.97 m³,,,,,,
excavators,HB215LC-1M0,104 kW / 139 HP,"22,050 kg",0.97 m³,,,,,,
excavators,PC210LCi-10,118 kW / 158 HP,"23,330 kg",0.97 m³,,,,,,
excavators,PC210LC-11,123 kW / 165 HP,"23,240 kg",0.97 m³,,,,,,
excavators,PC228USLC-11,123 kW / 165 HP,"24,120 kg",0.97 m³,,,,,,
excavators,PC228USLC-8,110 kW / 148 HP,"23,990 kg",0.97 m³,,,,,,
excavators,PC220LC-8M0,123 kW / 164 HP,"25,190 kg",1.08 m³,,,,,,
excavators,PC240LC-11,132 kW / 177 HP,"25,640 kg",1.08 m³,,,,,,
excavators,PC270LC-8,140 kW / 187 HP,"29,340 kg",1.39 m³,,,,,,
excavators,HB335LC-1,189 kW / 253 HP,"36,220 kg",1.8 m³,,,,,,
excavators,PC290LC-11,147 kW / 196 HP,"30,330 kg",1.39 m³,,,,,,
excavators,PC300LC-8M0,187 kW / 250 HP,"34,520 kg",1.56 m³,,,,,,
excavators,PC350LC-8M0,187 kW / 250 HP,"36,330 kg",1.8 m³,,,,,,
excavators,PC360LC-11,192 kW / 257 HP,"36,490 kg",1.8 m³,,,,,,
excavators,PC360LCi-11,192 kW / 257 HP,"36,490 kg",1.8 m³,,,,,,
excavators,PC450LC-8,257 kW / 345 HP,"46,090 kg",2.15 m³,,,,,,
excavators,PC450LC-8SE,257 kW / 345 HP,"46,880 kg",2.5 m³,,,,,,
excavators,PC490LC-11,268 kW / 359 HP,"48,690 kg",2.7 m³,,,,,,
excavators,PC600LC-8E0,320 kW / 429 HP,"62,400 kg",3.0 m³,,,,,,
excavators,PC600LC-8E0SE,320 kW / 429 HP,"63,300 kg",3.5 m³,,,,,,
excavators,PC850SE-8E0,363 kW / 487 HP,"79,900 kg",4.5 m³,,,,,,
excavators,PC1250SP-8R,502 kW / 672 HP,"106,500 kg",6.7 m³,,,,,,
excavators,PC2000-8,713 kW / 956 HP,"195,000 kg",12 m³,,,,,,
excavators,PC3000-6,"895 kW / 1,200 HP","250,000 kg","15 m³, Optional 18 m³",,,,,,
excavators,PC5500-6,"1,880 kW / 2,520 HP","533,000 kg",29 m³,,,,,,
excavators,PC7000-11,"2,500 kW / 3,350 HP","676,000 kg",36 m³,,,,,,
excavators,PC4000-11,"1,400 kW / 1,875 HP","392,992 kg",22 m³,,,,,,
excavators,PC8000-6,"3,000 kW / 4,020 HP","752,000 kg",42 m³,,,,,,
wheel-loaders,WA70-7,36.9 kW / 50 HP,"5,065 kg",1.0 m³,,,,,,
wheel-loaders,WA100M-8E0,69.8 kW / 94 HP,7.065 kg,1.3 m³,,,,,,
wheel-loaders,WA150-5,71 kW / 96 HP,"7,495 kg",1.7 m³,,,,,,
