wheel-loaders_wa100m-8e0,wheel-loaders_wa100m-8e0_SPECS-1,wheel-loaders_wa100m-8e0_SPECS-2,wheel-loaders_wa1200-6,wheel-loaders_wa1200-6_SPECS-1,wheel-loaders_wa1200-6_SPECS-2,wheel-loaders_wa150-5,wheel-loaders_wa150-5_SPECS-1,wheel-loaders_wa200-8,wheel-loaders_wa200-8_SPECS-1,wheel-loaders_wa200pz-6,wheel-loaders_wa200pz-6_SPECS-1,wheel-loaders_wa250pz-6,wheel-loaders_wa250pz-6_SPECS-1,wheel-loaders_wa270-8,wheel-loaders_wa270-8_SPECS-1,wheel-loaders_wa270-8_SPECS-2,wheel-loaders_wa320-8,wheel-loaders_wa320-8_SPECS-1,wheel-loaders_wa320-8_SPECS-2,wheel-loaders_wa320pz-6,wheel-loaders_wa320pz-6_SPECS-1,wheel-loaders_wa380-6,wheel-loaders_wa380-6_SPECS-1,wheel-loaders_wa380-6_SPECS-2,wheel-loaders_wa380-8,wheel-loaders_wa380-8_SPECS-1,wheel-loaders_wa380-8_SPECS-2,wheel-loaders_wa430-6,wheel-loaders_wa430-6_SPECS-1,wheel-loaders_wa430-6_SPECS-2,wheel-loaders_wa470-7,wheel-loaders_wa470-7_SPECS-1,wheel-loaders_wa470-7_SPECS-2,wheel-loaders_wa470-8,wheel-loaders_wa470-8_SPECS-1,wheel-loaders_wa470-8_SPECS-2,wheel-loaders_wa480-6,wheel-loaders_wa480-6_SPECS-1,wheel-loaders_wa480-6_SPECS-2,wheel-loaders_wa500-7,wheel-loaders_wa500-7_SPECS-1,wheel-loaders_wa500-7_SPECS-2,wheel-loaders_wa500-8-yl,wheel-loaders_wa500-8-yl_SPECS-1,wheel-loaders_wa500-8-yl_SPECS-2,wheel-loaders_wa600-6,wheel-loaders_wa600-6_SPECS-1,wheel-loaders_wa600-6_SPECS-2,wheel-loaders_wa600-8-lc,wheel-loaders_wa600-8-lc_SPECS-1,wheel-loaders_wa600-8-lc_SPECS-2,wheel-loaders_wa70-7,wheel-loaders_wa70-7_SPECS-1,wheel-loaders_wa70-7_SPECS-2,wheel-loaders_wa700-3,wheel-loaders_wa700-3_SPECS-1,wheel-loaders_wa700-3_SPECS-2,wheel-loaders_wa800-3e0,wheel-loaders_wa800-3e0_SPECS-1,wheel-loaders_wa800-3e0_SPECS-2,wheel-loaders_wa900-8r,wheel-loaders_wa900-8r_SPECS-1,wheel-loaders_wa900-8r_SPECS-2
Engine | Model,Komatsu SAA4D94LE-3,,Engine | Model,Komatsu SSD16V160E-2,,Engine | Model,Komatsu SAA4D102E-2,Engine  | Model,Komatsu SAA4D107E-3,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D114E-3,,Engine | Model,Komatsu SAA6D125E-6,,Engine | Model,Komatsu SAA6D125E-7,,Engine | Model,Komatsu SAA6D125E-5,,Engine | Model,Komatsu SAA6D140E-6,,Engine | Model,Komatsu SAA6D140E-7,,Engine | Model,Komatsu SAA6D170E-5,,Engine | Model,Komatsu SAA6D170E-7,,Engine | Model,Komatsu 4D95LWE-5,,Engine | Model,Komatsu SAA6D170E-3,,Engine | Model,Komatsu SAA12V140E-3,,Engine | Model,Komatsu SAA12V140E-7,
Engine | Type,"Common rail direct injection, water-cooled, emissionised, turbocharged, after-cooled diesel",,Engine | Type,"Four-cycle, water-cooled, modular common rail direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",Engine  | Type,"Water-cooled, 4-cycle",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Number of cylinders,4,,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled, direct injection",,Engine | Type,"Four-cycle, water-cooled",
Engine | Cylinders,4,,Engine | Aspiration,"Turbo-charged, after-cooled",,Engine | Aspiration,"Turbo-charged, after-cooled",Engine  | Aspiration,"Variable geometry, turbo-charged,  after-cooled, cooled EGR",Engine | Aspiration,"Turbo-charged, after-cooled",Engine | Aspiration,"Turbo-charged, after-cooled",Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled",Engine | Aspiration,"Turbo-charged, after-cooled",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Aspiration,"Turbo-charged, after-cooled, cooled EGR",,Engine | Bore x stroke,95 mm x 115 mm,,Engine | Aspiration,"Turbo-charged, after-cooled",,Engine | Aspiration,"Turbo-charged, after-cooled",,Engine | Aspiration,"Turbocharged, aftercooled",
Engine | Bore x stroke,94 mm x 110 mm,,Engine | Number of cylinders,16,,Engine | Number of cylinders,4,Engine  | Number of cylinders,4,Engine | Number of cylinders,4,Engine | Number of cylinders,6,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Number of cylinders,6,,Engine | Displacement,3.3 ltr,,Engine | Number of cylinders,6,,Engine | Number of cylinders,12,,Engine | Number of cylinders,12,
Engine | Displacement,3.05 ltr,,Engine | Bore x stroke,159 mm x 190 mm,,Engine | Bore x stroke,102 mm x 120 mm,Engine  | Bore x stroke,"107 mm 4.21"" x 124 mm 4.88""",Engine | Bore x stroke,107 mm x 124 mm,Engine | Bore x stroke,107 mm x 124 mm,Engine | Bore x stroke,107 mm x 124 mm,,Engine | Bore x stroke,107 mm x 124 mm,,Engine | Bore x stroke,107 mm x 124 mm,Engine | Bore x stroke,107 mm x 124 mm,,Engine | Bore x stroke,107 mm x 124 mm,,Engine | Bore x stroke,114 mm x 135 mm,,Engine | Bore x stroke,125 mm x 150 mm,,Engine | Bore x stroke,125 mm x 150 mm,,Engine | Bore x stroke,125 mm x 150 mm,,Engine | Bore x stroke,140 mm x 165 mm,,Engine | Bore x stroke,140 mm x 165 mm,,Engine | Bore x stroke,170 mm x 170 mm,,Engine | Bore x stroke,170 mm x 170 mm,,Engine | Horsepower ISO 14396,36.9 kW / 49.5 HP,,Engine | Bore x stroke,170 mm x 170 mm,,Engine | Bore x stroke,140 mm x 165 mm,,Engine | Bore x stroke,140 mm x 165 mm,
Engine | Engine Power:,,,Engine | Displacement,60.0 ltr,,Engine | Displacement,3.92 ltr,Engine  | Displacement,4.46 ltr 272 in³,Engine | Displacement,4.46 ltr,Engine | Displacement,6.69 ltr,Engine | Displacement,6.69 ltr,,Engine | Displacement,6.69 ltr,,Engine | Displacement,6.69 ltr,Engine | Displacement,6.69 ltr,,Engine | Displacement,6.69 ltr,,Engine | Displacement,8.27 ltr,,Engine | Displacement,11.04 ltr,,Engine | Displacement,11.04 ltr,,Engine | Displacement,11.04 ltr,,Engine | Displacement,15.24 ltr,,Engine | Displacement,15.24 ltr,,Engine | Displacement,23.15 ltr,,Engine | Displacement,23.15 ltr,,Engine | Rated RPM,2350,,Engine | Displacement,23.15 ltr,,Engine | Displacement,30.48 ltr,,Engine | Displacement,30.48 ltr,
Engine | at rated engine speed,2000 rpm,,"Engine | Horsepower, Gross - SAE J1995",1411 kW / 1892 HP,,"Engine | Horsepower, Gross - ISO 9249 / SAE J1349",74 kW / 99 HP,"Engine  | Horsepower, Gross - SAE J1995",95.2 kW / 128 HP,"Engine | Horsepower, Gross - SAE J1995",95.2 kW / 128 HP,"Engine | Horsepower, Gross - SAE J1995",104 kW / 140 HP,"Engine | Horsepower, Gross - SAE J1995",115 kW / 153 HP,,"Engine | Horsepower, Gross - SAE J1995",127 kW / 170 HP,,"Engine | Horsepower, Gross - SAE J1995",127 kW / 171 HP,"Engine | Horsepower, Gross - SAE J1995",143 kW / 192 HP,,"Engine | Horsepower, Gross - SAE J1995",143 kW / 192 HP,,"Engine | Horsepower, Gross - SAE J1995",173 kW / 232 HP,,"Engine | Horsepower, Gross - SAE J1995",204 kW / 273 HP,,"Engine | Horsepower, Gross - SAE J1995",204 kW / 273 HP,,"Engine | Horsepower, Gross - SAE J1995",224 kW / 300 HP,,"Engine | Horsepower, Gross - SAE J1995",266 kW / 357 HP,,"Engine | Horsepower, Gross - SAE J1995",266 kW / 357 HP,,"Engine | Horsepower, Gross - SAE J1995",396 kW / 530 HP,,"Engine | Horsepower, Gross - SAE J1995",396 kW / 530 HP,,Engine | Emissions certification,EPA Tier 3,,"Engine | Horsepower, Gross - SAE J1995",510 kW / 684 HP,,"Engine | Horsepower, Gross - SAE J1995",636 kW / 853 HP,,"Engine | Horsepower, Gross - SAE J1995",672 kW / 900 HP,
Engine | ISO 14396,69.8 kW / 93.6 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",1316 kW / 1765 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",71 kW / 96 HP,"Engine  | Horsepower, Net -  ISO 9249 / SAE J1349",94 kW / 126 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",94 kW / 126 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",103 kW / 138 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",111 kW / 149 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",123 kW / 165 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",125 kW / 167 HP,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",142 kW / 191 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",143 kW / 191 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",172 kW / 231 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",203 kW / 272 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",203 kW / 272 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",223 kW / 299 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",263 kW / 353 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",263 kW / 353 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",393 kW / 527 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",395 kW / 529 HP,,Operation / Application | Bucket capacity SAE,0.85 - 1.25 m3,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",502 kW / 672 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",603 kW / 808 HP,,"Engine | Horsepower, Net - ISO 9249 / SAE J1349",671 kW / 899 HP,
Engine | Max. torque/engine speed,394 Nm/1.475 rpm,,Engine | Rated RPM,1800,,Engine | Rated RPM,2000,Engine  | Rated RPM,2000 rpm,Engine | Rated RPM,2000,Engine | Rated RPM,2000,Engine | Rated RPM,2000,,Engine | Rated RPM,2100,,Engine | Rated RPM,2000,Engine | Rated RPM,2100,,Engine | Rated RPM,2100,,Engine | Rated RPM,2100,,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,,Engine | Rated RPM,1900,,Engine | Rated RPM,1900,,Engine | Rated RPM,1800,,Engine | Rated RPM,1800,,Operation / Application | Standard bucket capacity SAE,1.0 m3,,Engine | Rated RPM,2000,,Engine | Rated RPM,2000,,Engine | Rated RPM,2050,
Engine | Air filter type,Dry air filter with pre-filter and safety cartridge,,Engine | Fan drive method,Mechanical,,Engine | Fan drive method,Hydraulic,Engine  | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Engine | Fan drive method,Hydraulic,,Operation / Application | Bucket description,Light material bucket,,Operation / Application | Bucket capacity SAE,8.7 - 9.4 m3,,Engine | Fan drive method,Mechanical,,Engine | Fan drive method,Hydraulic,
Transmission | Drive system,Hydrostatic,,Engine | Emissions certification,EPA Tier 2,,Engine | Emissions certification,EPA Tier 2,Engine  | Emissions certification,EPA Tier 4,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 4 Final,,Engine | Emissions certification,EPA Tier 4 Final,,Engine | Emissions certification,EPA Tier 3,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 4 Final,,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 4 Interim,,Engine | Emissions certification,EPA Tier 4 Final,,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 4 Interim,,Engine | Emissions certification,EPA Tier 4 Final,,Engine | Emissions certification,EPA Tier 3,,Engine | Emissions certification,EPA Tier 4 Final,,Operation / Application | Bucket width,1870 mm,,Operation / Application | Standard bucket capacity SAE,8.7 m3,,Engine | Emissions certification,EPA Tier 2,,Engine | Emissions certification,EPA Tier 2,
